%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
29330689418,0,0,honey/haz_cam,7.21919714124e-05,-2.00007772446,-0.000561284658033,-0.000106159575807,9.81941557257e-05,0.707004666328,0.707208871841,1.345034525e-05,5.57973077464e-11,4.35727356973e-11,1.94107527089e-14,4.63398042161e-10,-2.16068038461e-10,5.57973077464e-11,1.33665116664e-05,-1.82552417627e-09,-4.56337106991e-10,-6.20398676876e-10,1.40987438613e-07,4.35727356973e-11,-1.82552417627e-09,1.33778594318e-05,1.35969457915e-10,-2.51145610974e-08,3.04341418733e-09,1.94107527089e-14,-4.56337106991e-10,1.35969457915e-10,9.17438228498e-06,-2.39548485215e-12,2.02776601066e-10,4.63398042161e-10,-6.20398676876e-10,-2.51145610974e-08,-2.39548485215e-12,9.19661670196e-06,6.29066743141e-10,-2.16068038461e-10,1.40987438613e-07,3.04341418733e-09,2.02776601066e-10,6.29066743141e-10,4.49547660537e-05
30302252283,1,0,honey/haz_cam,0.000544602575246,-2.00018215179,-0.00238791061565,-0.000284541049041,0.000266656570602,0.706893026829,0.707320392132,2.24551276915e-05,2.09429570908e-10,1.57712856663e-10,-1.51443517015e-12,1.96651033235e-08,-5.2790483096e-09,2.09429570908e-10,2.21786121983e-05,-3.74319464314e-09,-1.8470448282e-08,-4.3948045203e-09,8.50005108077e-07,1.57712856663e-10,-3.74319464314e-09,2.22436719923e-05,4.49453629869e-09,-2.34584746295e-07,1.15228333541e-08,-1.51443517015e-12,-1.8470448282e-08,4.49453629869e-09,5.32576705154e-05,-6.36697472522e-10,-3.41860086905e-08,1.96651033235e-08,-4.3948045203e-09,-2.34584746295e-07,-6.36697472522e-10,5.49385658815e-05,1.12730793589e-08,-5.2790483096e-09,8.50005108077e-07,1.15228333541e-08,-3.41860086905e-08,1.12730793589e-08,0.000141669603181
31342299325,2,0,honey/haz_cam,0.00250606238842,-2.00036239624,-0.00781802181154,-0.00050105684204,0.000517274951562,0.706764757633,0.707448303699,3.46093438566e-05,7.24116877571e-10,6.7119365621e-10,-2.12872636185e-11,1.17767953611e-07,-4.07257232382e-08,7.24116877571e-10,3.39079015248e-05,-7.0975336719e-09,-9.08465551674e-08,-2.62777177795e-08,4.1080174924e-06,6.7119365621e-10,-7.0975336719e-09,3.41055601893e-05,3.02381764072e-08,-1.67790210526e-06,4.43728467303e-08,-2.12872636185e-11,-9.08465551674e-08,3.02381764072e-08,0.000209038247704,-6.31503453974e-08,-3.96842381178e-07,1.17767953611e-07,-2.62777177795e-08,-1.67790210526e-06,-6.31503453974e-08,0.000261085398961,1.68826019831e-07,-4.07257232382e-08,4.1080174924e-06,4.43728467303e-08,-3.96842381178e-07,1.68826019831e-07,0.000427493243478
32311995146,3,0,honey/haz_cam,0.00609353976324,-2.00043606758,-0.0168057028204,-0.000717613205779,0.00076209672261,0.706646203995,0.707566320896,4.35696383647e-05,1.74448677726e-09,1.85623461046e-09,-7.77893860437e-11,4.07701662652e-07,-1.60599157084e-07,1.74448677726e-09,4.23076307925e-05,-8.44163405844e-09,-2.65761514129e-07,-5.6907342838e-08,1.119816352e-05,1.85623461046e-09,-8.44163405844e-09,4.26963633799e-05,1.09162279216e-07,-5.35772096555e-06,7.89716310123e-08,-7.77893860437e-11,-2.65761514129e-07,1.09162279216e-07,0.000341787701473,-6.2419292135e-07,-2.48351852861e-06,4.07701662652e-07,-5.6907342838e-08,-5.35772096555e-06,-6.2419292135e-07,0.000587181653827,5.49885271539e-07,-1.60599157084e-07,1.119816352e-05,7.89716310123e-08,-2.48351852861e-06,5.49885271539e-07,0.000789295590948
33311807340,4,0,honey/haz_cam,0.0127587225288,-2.00018572807,-0.0320772901177,-0.000911967421416,0.000987351639196,0.706545114517,0.707666695118,5.45780421817e-05,3.60396623655e-09,4.50834658494e-09,-2.3479754252e-10,1.10056089397e-06,-4.67047613029e-07,3.60396623655e-09,5.26168951183e-05,-9.20456422193e-09,-6.57239866086e-07,-1.05150249397e-07,2.66841816483e-05,4.50834658494e-09,-9.20456422193e-09,5.32246849616e-05,3.01254544866e-07,-1.47270548041e-05,1.41365845252e-07,-2.3479754252e-10,-6.57239866086e-07,3.01254544866e-07,0.00044964265544,-3.7674737996e-06,-1.2216975847e-05,1.10056089397e-06,-1.05150249397e-07,-1.47270548041e-05,-3.7674737996e-06,0.00124084122945,1.65076039593e-06,-4.67047613029e-07,2.66841816483e-05,1.41365845252e-07,-1.2216975847e-05,1.65076039593e-06,0.00141962897032
34472644105,5,0,honey/haz_cam,0.0230729803443,-1.99928426743,-0.0537549704313,-0.00106996495742,0.00114178296644,0.706477403641,0.707733869553,6.76335184835e-05,6.61223564791e-09,9.77896341681e-09,-2.58005672382e-10,2.58404134001e-06,-1.15785655908e-06,6.61223564791e-09,6.49446592433e-05,-8.51648085387e-09,-1.7361232949e-06,-1.65740686953e-07,5.55934238946e-05,9.77896341681e-09,-8.51648085387e-09,6.57351556583e-05,7.95848905e-07,-3.49360561813e-05,2.21276863499e-07,-2.58005672382e-10,-1.7361232949e-06,7.95848905e-07,0.000490878242999,-1.54725785251e-05,-4.26720362157e-05,2.58404134001e-06,-1.65740686953e-07,-3.49360561813e-05,-1.54725785251e-05,0.00232653226703,4.20789592681e-06,-1.15785655908e-06,5.55934238946e-05,2.21276863499e-07,-4.26720362157e-05,4.20789592681e-06,0.00233812932856
35429727049,6,0,honey/haz_cam,0.0317428186536,-1.99815249443,-0.0708824023604,-0.00115494825877,0.00121922895778,0.70644146204,0.707769453526,7.64576325309e-05,9.72969171897e-09,1.59025397295e-08,1.03622492531e-10,4.38323741037e-06,-2.04376806323e-06,9.72969171897e-09,7.32687039999e-05,-6.37567953987e-09,-3.41418217431e-06,-1.66829437376e-07,8.5004590801e-05,1.59025397295e-08,-6.37567953987e-09,7.41535841371e-05,1.56534872531e-06,-5.76646489208e-05,2.21165237235e-07,1.03622492531e-10,-3.41418217431e-06,1.56534872531e-06,0.000444812321803,-3.01580566884e-05,-7.5619915151e-05,4.38323741037e-06,-1.66829437376e-07,-5.76646489208e-05,-3.01580566884e-05,0.0030153861735,4.97319524584e-06,-2.04376806323e-06,8.5004590801e-05,2.21165237235e-07,-7.5619915151e-05,4.97319524584e-06,0.00278707267717
36390874720,7,0,honey/haz_cam,0.0402576178312,-1.99683046341,-0.0868482589722,-0.00121844676323,0.00126508029643,0.706417441368,0.707793295383,8.66953705554e-05,1.28899824148e-08,2.28192114093e-08,1.20382881441e-09,6.6094835347e-06,-3.1830008993e-06,1.28899824148e-08,8.31284851301e-05,-4.33520375154e-09,-5.80342930334e-06,-1.69297834418e-07,0.000119603144412,2.28192114093e-08,-4.33520375154e-09,8.40655702632e-05,2.6823108783e-06,-8.65884503582e-05,2.30767554399e-07,1.20382881441e-09,-5.80342930334e-06,2.6823108783e-06,0.000425351579906,-5.11774742336e-05,-0.000118122014101,6.6094835347e-06,-1.69297834418e-07,-8.65884503582e-05,-5.11774742336e-05,0.00377628346905,4.49278923043e-06,-3.1830008993e-06,0.000119603144412,2.30767554399e-07,-0.000118122014101,4.49278923043e-06,0.00326246162876
37493729104,8,0,honey/haz_cam,0.0472123995423,-1.99553573132,-0.0996602103114,-0.00126540742349,0.00129825354088,0.706402480602,0.707808077335,9.77793897619e-05,1.54474797398e-08,2.92614998898e-08,2.40170416888e-09,9.08895071916e-06,-4.47075353804e-06,1.54474797398e-08,9.3920622021e-05,-1.27067367739e-09,-8.74885790836e-06,-2.00107407977e-07,0.000156573849381,2.92614998898e-08,-1.27067367739e-09,9.48993474594e-05,4.09280573876e-06,-0.000119366821309,2.56165577639e-07,2.40170416888e-09,-8.74885790836e-06,4.09280573876e-06,0.000410894339439,-7.60293551139e-05,-0.000163514763699,9.08895071916e-06,-2.00107407977e-07,-0.000119366821309,-7.60293551139e-05,0.00445402413607,3.66834819943e-06,-4.47075353804e-06,0.000156573849381,2.56165577639e-07,-0.000163514763699,3.66834819943e-06,0.00366975879297
38468854908,9,0,honey/haz_cam,0.052148360759,-1.99446022511,-0.108987003565,-0.00130664987955,0.00134096073452,0.706390023232,0.707820296288,0.000110130487883,1.65873537128e-08,3.38961676505e-08,3.36082295327e-09,1.17650415632e-05,-5.83386281505e-06,1.65873537128e-08,0.000105992832687,3.16618353757e-09,-1.21354014482e-05,-2.58409414755e-07,0.000195401109522,3.38961676505e-08,3.16618353757e-09,0.00010703564476,5.72347698835e-06,-0.000155040150275,3.04376015947e-07,3.36082295327e-09,-1.21354014482e-05,5.72347698835e-06,0.000401749130106,-0.000102058969787,-0.000208793455386,1.17650415632e-05,-2.58409414755e-07,-0.000155040150275,-0.000102058969787,0.00503417802975,1.75428840521e-06,-5.83386281505e-06,0.000195401109522,3.04376015947e-07,-0.000208793455386,1.75428840521e-06,0.00403497321531
